Ga0081608_1208	Methylotenera mobilis-123 (UID3888)
Ga0081608_1209	Methylotenera mobilis-123 (UID3888)
Ga0081608_1210	Methylotenera mobilis-123 (UID3888)
Ga0081608_1211	Methylotenera mobilis-123 (UID3888)
Ga0081608_1212	Methylotenera mobilis-123 (UID3888)
Ga0081608_1213	Methylotenera mobilis-123 (UID3888)
Ga0081608_1214	Methylotenera mobilis-123 (UID3888)
Ga0081608_1215	Methylotenera mobilis-123 (UID3888)
Ga0081608_1216	Methylotenera mobilis-123 (UID3888)
Ga0081608_1217	Methylotenera mobilis-123 (UID3888)
Ga0081608_1218	Methylotenera mobilis-123 (UID3888)
Ga0081608_1219	Methylotenera mobilis-123 (UID3888)
Ga0081608_1220	Methylotenera mobilis-123 (UID3888)
Ga0081608_1221	Methylotenera mobilis-123 (UID3888)
Ga0081608_1222	Methylotenera mobilis-123 (UID3888)
Ga0081608_1223	Methylotenera mobilis-123 (UID3888)
Ga0081608_1224	Methylotenera mobilis-123 (UID3888)
Ga0081608_1225	Methylotenera mobilis-123 (UID3888)
Ga0081608_1226	Methylotenera mobilis-123 (UID3888)
Ga0081608_1227	Methylotenera mobilis-123 (UID3888)
Ga0081608_1228	Methylotenera mobilis-123 (UID3888)
Ga0081608_1229	Methylotenera mobilis-123 (UID3888)
Ga0081608_1230	Methylotenera mobilis-123 (UID3888)
Ga0081608_1231	Methylotenera mobilis-123 (UID3888)
Ga0081608_1232	Methylotenera mobilis-123 (UID3888)
Ga0081608_1233	Methylotenera mobilis-123 (UID3888)
Ga0081608_1234	Methylotenera mobilis-123 (UID3888)
Ga0081608_1235	Methylotenera mobilis-123 (UID3888)
Ga0081608_1236	Methylotenera mobilis-123 (UID3888)
Ga0081608_1237	Methylotenera mobilis-123 (UID3888)
Ga0081608_1238	Methylotenera mobilis-123 (UID3888)
Ga0081608_1239	Methylotenera mobilis-123 (UID3888)
Ga0081608_1240	Methylotenera mobilis-123 (UID3888)
Ga0081608_1241	Methylotenera mobilis-123 (UID3888)
